team,PJ,G,E,P,GF,GC,Pts,DG
Bayern Munich,30,30,0,0,84,47,90,37
Hoffenheim,30,23,5,2,70,49,74,21
Schalke 04,30,21,7,2,71,51,70,20
Hamburg,30,21,6,3,74,56,69,18
Freiburg,30,18,6,6,73,61,60,12
RB Leipzig,30,13,11,6,70,63,50,7
M'gladbach,30,13,9,8,65,61,48,4
FC Koln,30,11,9,10,60,59,42,1
Dortmund,30,9,13,8,74,74,40,0
Union Berlin,30,7,9,14,60,67,30,-7
Mainz,30,6,8,16,64,75,26,-11
Ein Frankfurt,30,4,10,16,57,69,22,-12
Werder Bremen,30,3,12,15,57,69,21,-12
Stuttgart,30,0,6,24,53,78,6,-25
Augsburg,30,0,6,24,52,77,6,-25
Leverkusen,30,0,5,25,53,81,5,-28
