Layer;Augsburg;Bayern Munich;Dortmund;Ein Frankfurt;FC Koln;Freiburg;Hamburg;Hoffenheim;Leverkusen;M'gladbach;Mainz;RB Leipzig;Schalke 04;Stuttgart;Union Berlin;Werder Bremen
Layer 0;16,64;16,6;17,69;17,15;14,31;15,19;16,55;15,92;14,08;15,3;14,89;18,05;13,94;17,72;15,33;15,78
Layer 1;21,08;21,15;22,26;21,47;19,8;20,3;20,91;23,59;19,25;20,52;19,88;22,53;18,5;22,23;19,76;20,84
Layer 2;27,36;29,07;28,85;27,58;30,29;32,1;26,93;30,55;26,98;28,35;29,6;28,76;24,79;28,6;30,66;27,92
Layer 3;39,27;35,61;35,22;33,89;35,67;41,01;32,64;41,7;35,78;40,02;37,54;35,13;31,58;35,44;37,0;38,45
Layer 4;42,89;42,39;38,35;37,78;40,1;43,67;41,51;44,49;38,64;43,12;42,03;38,27;35,38;38,79;40,21;41,91
Layer 5;49,41;45,37;46,24;48,9;46,26;50,37;45,41;51,12;42,8;47,38;48,61;47,66;39,48;44,56;43,8;45,84
Layer 6;57,66;51,04;52,63;53,17;51,38;56,79;51,86;56,14;49,49;51,6;54,66;53,49;46,63;50,94;49,97;51,6
Layer 7;57,9;51,06;54,58;53,16;52,62;55,26;53,5;56,25;49,76;51,53;55,21;54,83;50,1;52,34;52,48;52,32
Layer 8;59,42;52,56;57,16;54,26;54,92;56,35;56,0;59,26;51,65;54,35;57,0;56,36;51,15;54,28;55,11;53,22
Layer 9;55,42;51,59;53,53;52,53;52,13;52,5;53,35;55,33;50,97;52,63;52,89;53,97;51,21;52,59;51,98;51,81
Layer 10;57,41;53,41;56,06;54,89;55,15;55,59;55,89;57,33;53,68;54,6;55,93;55,93;52,83;55,04;54,23;54,08
Layer 11;56,26;52,83;54,83;53,07;53,15;53,81;54,54;55,79;51,68;52,25;54,33;54,61;51,55;53,7;53,01;53,32
Layer 12;57,68;54,78;56,99;54,45;54,59;54,55;56,36;56,86;53,38;53,7;56,36;56,3;52,7;56,31;53,98;55,45
Layer 13;60,78;59,46;60,74;58,76;58,38;58,86;60,43;60,32;57,52;57,99;59,2;60,01;57,29;60,01;58,61;59,56
Layer 14;64,53;61,74;63,24;62,11;61,78;61,84;63,82;63,14;59,78;60,74;63,04;62,93;59,58;62,77;62,37;62,0
Layer 15;66,02;64,81;65,86;63,58;63,69;63,42;65,19;65,26;62,61;62,95;64,13;64,57;61,34;65,1;64,02;64,99
Layer 16;67,29;65,08;66,74;64,44;64,99;65,31;67,31;66,21;64,0;64,34;66,33;65,48;63,2;66,95;65,55;65,93
Layer 17;71,95;70,0;71,03;69,68;69,88;70,26;71,44;70,93;69,5;69,68;71,1;70,38;68,33;71,28;69,84;69,83
Layer 18;78,84;77,65;78,67;77,68;77,42;77,23;78,78;77,6;76,74;76,93;77,53;78,4;75,09;79,1;78,15;77,19
Layer 19;95,99;95,29;95,56;95,6;95,05;95,08;95,72;95,21;94,69;94,57;95,06;95,98;93,91;95,85;95,25;95,11
Layer 20;107,84;106,99;106,18;106,48;107,09;106,53;107,48;106,09;106,17;106,12;107,12;106,93;106,34;106,66;106,77;107,8
Layer 21;122,04;121,95;121,08;121,54;121,69;121,0;122,15;120,73;120,67;121,09;121,22;121,85;121,69;121,39;121,43;122,87
Layer 22;139,02;139,59;138,02;138,76;139,6;139,29;139,14;138,26;139,26;139,63;138,48;138,97;139,59;138,56;138,85;140,07
Layer 23;183,37;184,14;181,88;182,78;184,2;183,11;183,38;182,57;183,44;183,45;182,54;183,54;183,24;182,09;183,52;183,77
Layer 24;254,56;251,83;250,74;251,08;253,17;253,89;253,81;252,49;253,36;253,34;254,23;253,05;253,76;250,0;253,14;255,27
Layer 25;311,27;308,23;307,37;307,28;309,9;309,76;310,27;309,54;309,86;308,89;312,05;309,91;309,47;305,87;309,95;311,98
Layer 26;411,94;413,42;406,32;409,68;411,46;412,22;409,07;411,08;413,18;409,69;413,39;409,0;413,33;404,99;412,96;412,67
Layer 27;357,66;356,34;353,61;355,21;354,38;354,39;359,18;355,22;356,74;352,15;362,41;355,4;355,56;354,36;357,06;358,73
Peak Layer (l*);26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0
N matches;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0
