Layer;Alaves;Ath Bilbao;Ath Madrid;Barcelona;Betis;Celta;Elche;Espanol;Getafe;Girona;Levante;Mallorca;Osasuna;Oviedo;Real Madrid;Sevilla;Sociedad;Valencia;Vallecano;Villarreal
Layer 0;13,26;14,81;14,53;14,32;13,41;12,98;14,12;12,85;13,21;12,85;13,21;14,57;13,22;14,05;15,09;14,9;13,91;14,32;13,9;13,31
Layer 1;19,21;19,69;19,17;19,64;19,17;18,6;19,81;18,13;18,91;18,86;18,32;19,54;18,53;18,9;20,55;19,79;20,26;19,33;19,07;19,16
Layer 2;27,42;28,08;28,25;26,09;29,12;26,58;27,64;27,09;26,49;27,13;27,69;27,36;28,66;26,06;28,53;26,63;27,49;32,81;27,06;27,93
Layer 3;35,62;33,55;34,22;35,36;34,47;34,66;33,05;32,52;31,54;33,0;31,65;35,75;33,84;35,39;33,9;35,83;32,27;36,8;32,53;34,78
Layer 4;40,85;45,31;39,75;40,61;40,95;41,81;39,35;36,9;39,8;39,26;38,67;41,01;39,32;39,83;40,78;40,62;37,35;40,75;36,03;44,71
Layer 5;47,5;47,84;42,83;44,26;44,84;45,42;48,85;42,28;47,27;45,88;46,17;48,91;46,18;43,2;44,4;43,87;43,81;44,19;43,45;50,71
Layer 6;52,65;52,59;49,15;50,85;50,51;51,59;56,47;50,08;53,25;51,64;52,48;54,09;51,65;49,64;51,43;50,93;49,58;51,79;49,66;54,57
Layer 7;54,81;52,43;51,01;53,99;54,74;55,15;55,77;51,43;53,82;54,21;54,89;55,89;52,37;53,21;54,12;54,16;50,67;54,42;51,26;56,77
Layer 8;57,01;52,35;52,69;56,73;58,21;59,69;58,31;52,93;55,19;57,1;57,73;57,89;54,44;55,46;56,1;56,78;54,1;57,04;53,98;59,55
Layer 9;53,44;51,32;51,75;54,16;53,65;56,0;55,46;51,11;52,08;54,09;55,23;54,36;52,91;52,56;53,33;53,84;53,01;54,06;51,75;55,24
Layer 10;56,53;53,62;53,63;57,49;56,85;58,58;58,04;53,52;55,04;56,89;58,32;57,87;55,59;55,87;56,24;56,4;55,55;57,87;54,73;58,02
Layer 11;54,25;51,78;51,96;55,33;54,93;56,77;55,81;51,42;52,65;54,6;55,12;55,93;53,4;53,98;53,99;54,98;53,22;55,91;52,59;56,45
Layer 12;55,39;53,32;53,2;57,22;55,26;58,45;57,01;54,39;54,43;55,19;55,84;56,92;54,06;54,86;54,85;55,88;54,78;56,99;54,1;56,78
Layer 13;58,72;57,66;57,26;60,53;57,66;60,61;59,36;57,56;58,24;58,29;58,71;59,28;57,94;57,51;58,24;59,21;57,44;60,21;57,5;59,23
Layer 14;61,83;60,17;59,81;63,06;62,06;64,14;63,05;60,2;60,45;61,8;62,83;62,35;60,37;61,74;60,54;62,52;60,88;63,74;60,57;62,68
Layer 15;63,93;62,0;61,95;65,25;63,61;65,3;64,28;62,36;62,71;62,77;63,99;64,48;62,55;63,19;62,69;64,06;63,18;65,12;62,37;64,25
Layer 16;64,81;63,12;63,48;66,07;65,03;67,03;65,29;63,81;63,79;64,23;65,15;65,13;64,18;64,36;64,24;65,98;64,41;66,8;63,68;65,18
Layer 17;69,42;68,42;67,85;70,07;69,41;70,89;69,45;68,26;68,83;69,19;69,63;69,81;68,56;68,53;68,55;69,97;68,74;70,67;68,48;70,3
Layer 18;74,03;73,73;74,02;75,63;74,73;75,49;74,54;73,32;73,32;74,01;74,66;74,94;74,06;74,19;74,27;75,76;73,85;76,16;73,73;75,22
Layer 19;91,65;90,76;91,56;92,44;92,01;92,23;91,69;91,28;90,61;91,62;91,75;92,05;90,74;91,25;91,49;92,23;90,72;92,69;91,02;92,21
Layer 20;105,13;103,71;104,94;105,94;104,88;105,77;104,67;103,95;103,66;104,3;105,1;105,15;103,4;104,51;104,62;104,93;104,06;105,59;104,18;105,09
Layer 21;121,84;119,98;121,68;121,75;121,65;124,49;121,4;120,72;120,07;120,05;121,11;120,95;120,03;121,02;121,53;121,99;121,53;121,84;120,84;120,97
Layer 22;139,73;139,28;139,83;138,97;139,44;141,54;139,14;139,45;139,33;138,78;139,31;138,85;138,79;139,17;139,77;138,59;139,8;139,35;139,26;139,03
Layer 23;184,63;183,54;184,7;183,02;183,74;184,42;183,15;183,78;183,41;182,69;183,91;182,89;183,21;183,85;184,68;183,14;184,76;183,99;183,51;182,99
Layer 24;256,21;254,51;253,82;253,18;256,27;257,99;255,33;254,88;254,98;255,0;255,89;254,89;254,48;255,76;256,16;253,94;256,42;255,46;254,88;255,97
Layer 25;315,38;313,72;313,48;311,33;315,88;317,58;314,65;314,62;313,84;314,64;315,5;313,89;313,23;314,48;315,8;311,86;314,96;313,4;314,76;315,41
Layer 26;411,84;411,05;410,11;405,8;412,77;412,98;407,79;412,81;411,78;412,39;411,83;410,92;410,78;411,3;411,92;405,74;411,2;406,17;411,12;412,72
Layer 27;367,88;360,8;362,59;365,85;367,39;377,6;363,85;364,82;362,87;367,91;366,86;368,13;359,08;365,25;365,29;364,56;367,64;368,53;362,63;366,93
Peak Layer (l*);26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0
N matches;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0
